MERCHANT_CODE,category,sub_category
DOSALESFORCE22049Rbo,Nhà cửa - Đời sống,Dịch vụ hỗ trợ gia đình
bt9,Nhà cửa - Đời sống,Hoa & Quà lưu niệm
DOSALESFORCE23199Um5,Ẩm thực,Đồ uống
GOLDENGATE,Ẩm thực,Nhà hàng - Quán ăn
HIGHLANDS,Ẩm thực,Đồ uống
0300521758PNJ,Thời trang và Phong cách sống,Trang sức - Phụ kiện
0313506115AHAMOVE,Vận tải - Giao vận,Dịch vụ giao hàng
DOSALESFORCE23272J0e,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE23334ssx,Ẩm thực,Nhà hàng - Quán ăn
xXC,Bán lẻ FMCG,Cửa hàng tiện lợi
2500217389NAGAKAWA,Nhà cửa - Đời sống,Gia dụng
xXC,Vận tải - Giao vận,Dịch vụ giao hàng
MOID20253gTg,Sức khỏe - Làm đẹp,Nha Khoa
xXC,Bán lẻ FMCG,Siêu thị
BAMBOOAIRWAYS,Vận tải - Giao vận,Hàng không
DOSALESFORCE23361QOB,Sức khỏe - Làm đẹp,Bệnh viện - Phòng khám
0313358273ELSASPEAK,Giáo dục,Khóa học
CANIFA,Thời trang và Phong cách sống,Thời trang
DOSALESFORCE23221RiK,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
VUANEM,Nhà cửa - Đời sống,Nội thất
DOSALESFORCE24030P44,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE23221YUd,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE23362olO,Sức khỏe - Làm đẹp,Nha khoa
0316282840MISHI,Khác,Uncategorized
DOSALESFORCE23229Twc,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE21336Amx,Ẩm thực,Đồ uống
01M8017618TORANO,Thời trang và Phong cách sống,Thời trang
xXC,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
313224671SEOULSPA,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
VinID,Uncategorized,Uncategorized
DOSALESFORCE22109wgC,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
DOSALESFORCE23359Cd3,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE213628ZZ,Nhà cửa - Đời sống,Gia dụng
30005256,Thời trang và Phong cách sống,Thời trang
DOSALESFORCE22348563,Sức khỏe - Làm đẹp,Phòng tập
DOSALESFORCE23356V0w,Ẩm thực,Đồ uống
DOSALESFORCE22152Jzp,Vận tải - Giao vận,Dịch vụ giao hàng
DOSALESFORCE222712ed,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
IBASIC,Thời trang và Phong cách sống,Thời trang
VUAHANGHIEU,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
Innisfree,Uncategorized,Uncategorized
DOSALESFORCE23220BbA,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE222726Cq,Ẩm thực,Cửa hàng kem/bánh/kẹo
DOSALESFORCE23356iQZ,Giáo dục,Khóa học
DOSALESFORCE22272NJP,Ẩm thực,Cửa hàng kem/bánh/kẹo
DOSALESFORCE223418Dq,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
ROSSOHAIR,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE22049Ykn,Thời trang và Phong cách sống,Thời trang
DOSALESFORCE22075tfe,Sức khỏe - Làm đẹp,Phòng tập
DOSALESFORCE24088IOo,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE23334bji,Thương mại điện tử,Thương mại điện tử
MOID20280N0U,Sức khỏe - Làm đẹp,Phòng tập
GREENCOOK,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE233419jA,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE223612nx,Sức khỏe - Làm đẹp,Phòng tập
DOSALESFORCE23296SGj,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE24085WQX,Thời trang và Phong cách sống,Thời trang
xXC,Mẹ & bé,Uncategorized
JUPVIEC,Nhà cửa - Đời sống,Dịch vụ hỗ trợ gia đình
DOSALESFORCE24017lkh,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE23359sVz,Dịch vụ tài chính,Bảo hiểm
DOSALESFORCE23359nRU,Sức khỏe - Làm đẹp,Thực phẩm chức năng - CSSK
DOSALESFORCE22119yB8,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE23187out,Vận tải - Giao vận,Ứng dụng gọi xe - Taxi
xXC,Ẩm thực,Nhà hàng - Quán ăn
DOSALESFORCE22007D8R,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
xXC,Thương mại điện tử,Uncategorized
DOSALESFORCE24019hPR,Ẩm thực,Nhà hàng - Quán ăn
xXC,Ẩm thực,Đồ uống
DOSALESFORCE23062vFl,Vận tải - Giao vận,Vận tải - Giao vận khác
VUAHANGHIEU,Thời trang và Phong cách sống,Trang sức - Phụ kiện
DOSALESFORCE21337U9g,Sức khỏe - Làm đẹp,Nha Khoa
DOSALESFORCE22112wIe,Giáo dục,Khóa học
DOSALESFORCE24088ABs,Mẹ & bé,Uncategorized
DOSALESFORCE23342MBd,Ẩm thực,Đồ uống
DOSALESFORCE23341rA2,Sức khỏe - Làm đẹp,Bệnh viện - Phòng khám
xXC,Tiện ích - Nhà mạng,Viễn thông
ESTEELAUDER,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
CTCPVINID,Tiện ích - Nhà mạng,Viễn thông
DOSALESFORCE21349LkF,Ẩm thực,Nhà hàng - Quán ăn
VUAHANGHIEU,Thời trang và Phong cách sống,Thời trang
MOID20274QZS,Thời trang và Phong cách sống,Thời trang
MPHONGYEN,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
DOSALESFORCE23341xrI,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE23297OZ5,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
DOSALESFORCE23221RiK,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
xXC,Thời trang và Phong cách sống,Thời trang
0316282840MISHI,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE21329aGG,Giáo dục,Khóa học
DOSALESFORCE23359eqY,Nhà cửa - Đời sống,Gia dụng
DOSALESFORCE23362CVR,Giáo dục,Khóa học
DOSALESFORCE22152Jzp,Vận tải - Giao vận,Ứng dụng gọi xe - Taxi
MERRIMAN,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
HATHORBEAUTY,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ
DOSALESFORCE24036I0u,Mẹ & bé,Uncategorized
MOID20240gkf,Giáo dục,Khóa học
DOSALESFORCE2322785c,Ẩm thực,Nhà hàng - Quán ăn
