MERCHANT_CODE,VOUCHER_CODE,VOUCHER_NAME,description,category,sub_category
xXC,xXC2654,"Mã nạp Tiki Xu 20,000đ",">mã nạp tiki xu trị giá 20,000đ tương đương với phiếu mua hàng điện tử được dùng để cấn trừ vào giá ",Thương mại điện tử,Uncategorized
DOSALESFORCE22152Jzp,MA_BE_10012024_SF4486,Giảm 20% Di chuyển bằng beBike/beCar,">voucher giảm 20% tối đa 50,000đ cho chuyến đi bằng >bebike/becar áp dụng tại các thành phố be cung ",Vận tải - Giao vận,Dịch vụ giao hàng
xXC,xXC3723,"Thẻ nạp Mobifone 20,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại >mobifone> mệnh giá 20,000đ.",Thương mại điện tử,Viễn thông
xXC,xXC12555,"Voucher 20,000đ Mua hàng tiện lợi",">voucher trị giá 20,000đ> áp dụng khi mua hàng tại chuỗi cửa hàng tiện lợi >circle k>.>ra đời từ năm",Bán lẻ FMCG,Cửa hàng tiện lợi
xXC,xXC9242,"Voucher 20,000đ Mỹ phẩm làm đẹp xu hướng",ở thành phiên bản hoàn hảo hơn mỗi ngày.,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
xXC,xXC3725,"Thẻ nạp Mobifone 50,000đ",">đổi >điểm vinid nhận ngay >mã thẻ nạp tiền điện thoại >mobifone> mệnh giá 50,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3704,"Thẻ nạp Viettel 10,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại viettel mệnh giá 10,000đ>.",Bán lẻ FMCG,Siêu thị
DOSALESFORCE22152Jzp,MA_BEGROUP_30012024_SF4561,"Voucher 20,000đ Di chuyển beBike/beCar",">voucher trị giá 20,000đ> áp dụng cho dịch vụ >bebike/becar> tại các thành phố be cung cấp dịch vụ.",Vận tải - Giao vận,Dịch vụ giao hàng
VUAHANGHIEU,MA_MAC_20012024_SF4510,"Giảm 159,000đ Đồ trang điểm cho nàng",">voucher ưu đãi giảm 159,000đ khi mua >từ 02 sản phẩm >thương hiệu mac thuộc chương trình siêu deal ",Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc"
xXC,xXC3707,"Thẻ nạp Viettel 50,000đ",">đổi >điểm vinid nhận ngay mã >thẻ nạp tiền điện thoại >viettel> mệnh giá 50,000đ.",Thương mại điện tử,Viễn thông
xXC,xXC3743,"Thẻ nạp Vietnamobile 50,000đ",">đổi điểm vinid nhận ngay thẻ nạp tiền điện thoại >vietnamobile> mệnh giá 50,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3741,"Thẻ nạp Vietnamobile 20,000đ",">đổi >điểm vinid nhận ngay >mã thẻ nạp tiền điện thoại >vietnamobile> mệnh giá 20,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3706,"Thẻ nạp Viettel 30,000đ",">voucher trị giá 30,000đ sử dụng để nạp tiền điện thoại >viettel",Tiện ích - Nhà mạng,Viễn thông
DOSALESFORCE22152Jzp,MA_BE_10012024_SF4485,"Giảm 20,000đ Đồ ăn ngon giao tận nơi",">giảm 20,000đ cho đơn hàng từ 85,000đ trở lên khi đặt befood.>*không áp dụng cho phụ phí và phí giao",Ẩm thực,Nhà hàng - Quán ăn
xXC,xXC3740,"Thẻ nạp Vietnamobile 10,000đ",">đổi 1,000 điểm vinid nhận ngay mã thẻ nạp tiền điện thoại vietnamobile mệnh giá 10,000đ>.>website v",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3714,"Thẻ nạp Vinaphone 20,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại >vinaphone> mệnh giá 20,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3705,"Thẻ nạp Viettel 20,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại >viettel> mệnh giá 20,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC8900,"Voucher 20,000đ Buffet lẩu băng chuyền",">voucher trị giá 20,000đ> áp dụng khi thưởng thức buffet tại nhà hàng >kichi-kichi>.>kichi-kichi> là",Ẩm thực,Nhà hàng - Quán ăn
xXC,xXC3722,"Thẻ nạp Mobifone 10,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp >tiền điện thoại >mobifone mệnh giá 10,000đ>.",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3715,"Thẻ nạp Vinaphone 30,000đ",">voucher trị giá 30,000đ sử dụng để thẻ nạp tiền điện thoại >vinaphone",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3724,"Thẻ nạp Mobifone 30,000đ",">voucher trị giá 30,000đ sử dụng để nạp tiền điện thoại >mobifone",Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3755,Thẻ Data Mobifone 1.5GB/ 10 ngày,>đổi điểm vinid nhận ngay mã thẻ data >mobifone> 1.5gb sử dụng trong 10 ngày.,Tiện ích - Nhà mạng,Viễn thông
xXC,xXC3467,"Voucher 50,000đ Thức uống sáng tạo","m trà và cà phê đến tất cả các hệ thống: siêu thị, cửa hàng tiện lợi, kênh thương mại điện tử…",Bán lẻ FMCG,Cửa hàng tiện lợi
xXC,xXC3713,"Thẻ nạp Vinaphone 10,000đ",">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại >vinaphone> mệnh giá 10,000đ.",Tiện ích - Nhà mạng,Viễn thông
