discount_type,discount_amount,discount_percent,description,VOUCHER_CODE
Cash Voucher,0,0,">đổi điểm vinid nhận ngay mã thẻ nạp tiền điện thoại >mobifone> mệnh giá 20,000đ.",xXC3723
Buy 2 get 1,0,0,">voucher ưu đãi >khi mua 02 ly trà cỡ lớn (áp dùng tất cả dòng trà), khách hàng được tặng thêm 01 ly",MA_HIGHLANDS_01022024_SF4601
Free SKU,0,0,">voucher miễn phí combo cắt + hấp tóc trị giá 300,000đ dành cho> khách hàng nữ lần đầu trải nghiệm d",MA_YTOHAIRSALON_02062023_SF4718
Discount Fixed Amount (For Total Bill),300000,0,">voucher giảm 300,000đ cho hóa đơn 1,500,000đ áp dụng với hàng nguyên giá tại thời trang torano.>giá",MAA_TORANO_24102023_SF4114
Discount Percentage (For SKU),0,5,">voucher ưu đãi giảm 5% cho đơn hàng bất kỳ khi mua sắm tại vua nệm.>giá sản phẩm khoảng từ 65,000đ ",MAA_VUANEM_01022024_SF4596
Discount Percentage (For SKU),0,40,">- thiết kế nhỏ gọn, trọng lượng nhẹ, dễ dàng cầm nắm và thao tác>- dung lượng pin lớn, cho thời gia",MA_MISHIO_05012024_SF4432
Discount Percentage (For SKU),0,35,>giảm 35% không giới hạn đối với sản phẩm bảo hiểm tnds ô tô của bất kì đơn vị bảo hiểm nào khi mua ,MA_SALADIN_14032024_SF4665
Discount Fixed Amount (For SKU),101000,0,">- b3: tiến hành peel da>- b4: xịt dung dịch cấp ẩm dịu da, tránh để da sốc nhiệt khi tiếp xúc với á",MAA_DLYNKCLINIC_24012024_SF4565
Discount Fixed Amount (For SKU),222000,0,">voucher giảm 222,000đ khi đăng ký khóa học >elsa> pro premium> 1 tháng chỉ còn 569,000đ (nguyên giá",MAA_ELSASPEAK_24102023_SF4122
Cash Voucher,10000,0,"vào miền nam, đâu đâu cũng là những không khí ấm áp và hiện đại của nhà. tại hà nội, tp.hồ chí minh,",xXC5181
Discount Fixed Amount (For Total Bill),29000,0,">voucher ưu đãi giảm 29,000đ cho hóa đơn từ 119,000đ trở lên >tại >highlands coffee>*sản phẩm áp dụn",MA_HIGHLANDS_01022024_SF4599
Cash Voucher,0,0,">đổi 50,000 điểm vinid nhận ngay 1,500 dặm >thưởng lotusmiles> (dặm bay >vietnam airlines)>.",VIETNAMAIRLINES_30122020_3
Cash Voucher,0,0,">đổi điểm vinid nhận ngay thẻ nạp tiền điện thoại >vietnamobile> mệnh giá 50,000đ>.",xXC3743
Discount Percentage (For SKU),0,45,iệu đèn>- cơm được giữ ấm trong nồi lên đến 4 giờ sau khi rút điện>-&nbsp;nắp nồi có van thoát hơi n,MA_LADOMAX_29122023_SF4382
Discount Percentage (For Total Bill),0,15,>voucher ưu đãi giảm 15% trên tổng hóa đơn cho khách hàng dùng bữa tại cửa hàng cơm thố bách khoa.>g,MAA_COMTHOBACHKHOA_01122023_SF4282
Discount Percentage (For SKU),0,30,">giảm 30% (tối đa 50,000đ) cho hóa đơn từ 45,000đ tại hệ thống cửa hàng rau má mix.>giá sản phẩm kho",MA_RAUMAMIX_03032024_SF4643
Discount Fixed Amount (For SKU),159000,0,">voucher ưu đãi giảm 159,000đ khi mua >từ 02 sản phẩm> thương hiệu versace thuộc chương trình siêu d",MA_VERSACE_20012024_SF4513
Discount Fixed Amount (For SKU),1000000,0,"hi sử dụng dịch vụ ưu đãi này, khách hàng được tặng bộ sample mỹ phẩm bijindo (bao gồm gel rửa mặt, ",MAA_VENESA_22012024_SF4606
Discount Percentage (For SKU),151000,0,"ai gáy giúp thư giãn, lưu thông máu>- b>6: xả sạch tóc với nước, sấy khô",MAA_THAODIENSALONHAIRSPABEAUTY_01112023_SF4142
Discount Percentage (For SKU),0,15,">giảm 15% cho tất cả các dịch vụ tại >hi spa>, ngoại trừ một số dịch vụ như: >gội đầu cơ bản | super",MA_HISPA_19122023_SF4368
Cash Voucher,50000,0,">voucher trị giá 50,000đ> >sử dụng để mua sắm tại tất cả các cửa hàng >innisfree>. >innisfree ra đời",xXC5033
Discount Fixed Amount (For Total Bill),100000,0,">voucher giảm 100,000đ cho hóa đơn 500,000đ khi dùng buffet> tại >nhà hàng yakimono>- >buffet godzil",MA_YAKIMONO_02012024_SF4429
