gender,user_id,province_name,age,city
F,76843,north_side,O55,Hanoi
unavailable,13346d5,mid_side,25_34,Danang
unavailable,132ed57,south_side,unavailable,HoChiMinhCity
F,ac6216,north_side,U18,Hanoi
M,cb2f6f,north_side,O55,Hanoi
F,bf0a44,unavailable,25_34,unavailable
M,7ad3ce,mid_side,18_24,Danang
F,2fb03506,north_side,35_44,Hanoi
unavailable,133604c,mid_side,unavailable,Danang
M,91bc67,north_side,45_54,Hanoi
F,172ba0,unavailable,45_54,unavailable
F,5b77d,south_side,25_34,HoChiMinhCity
F,aca200,north_side,18_24,Hanoi
F,9d2bc1,south_side,45_54,HoChiMinhCity
F,328ad,south_side,35_44,HoChiMinhCity
F,ed07d,south_side,25_34,HoChiMinhCity
M,82eb1,mid_side,18_24,Danang
F,179c2d,mid_side,unavailable,Danang
F,2bed6,mid_side,unavailable,Danang
F,61e723,mid_side,U18,Danang
M,a762eb,south_side,unavailable,HoChiMinhCity
M,8cf06,south_side,O55,HoChiMinhCity
F,37f8a3,north_side,35_44,Hanoi
M,c7b3c1,north_side,25_34,Hanoi
F,4c0e95,north_side,U18,Hanoi
F,6dfee,unavailable,U18,unavailable
F,a97d2f,mid_side,25_34,Danang
M,f40ee,south_side,35_44,HoChiMinhCity
F,a6d799,south_side,unavailable,HoChiMinhCity
F,151b9a,mid_side,O55,Danang
M,45db6,north_side,25_34,Hanoi
F,636473,mid_side,35_44,Danang
F,79d6e2,north_side,25_34,Hanoi
F,196284,mid_side,35_44,Danang
M,985902,north_side,25_34,Hanoi
F,17da9c,north_side,O55,Hanoi
M,66e57,unavailable,U18,unavailable
F,1748c0,mid_side,35_44,Danang
M,c444bf,south_side,45_54,HoChiMinhCity
M,13168c0,north_side,45_54,Hanoi
F,c0dc35,mid_side,45_54,Danang
M,cbed16,mid_side,O55,Danang
F,c4a195,north_side,unavailable,Hanoi
M,1095f,south_side,18_24,HoChiMinhCity
F,cd31be,south_side,45_54,HoChiMinhCity
F,1327672,south_side,25_34,HoChiMinhCity
F,95cd78,mid_side,35_44,Danang
F,267f9f,mid_side,45_54,Danang
M,15b004,unavailable,35_44,unavailable
F,c1931d,north_side,25_34,Hanoi
M,69f97e,mid_side,35_44,Danang
M,52e30,mid_side,unavailable,Danang
F,ab6e0c,north_side,U18,Hanoi
F,92ce6,south_side,U18,HoChiMinhCity
F,bedd,north_side,18_24,Hanoi
F,33eb2,mid_side,25_34,Danang
M,13283d3,mid_side,18_24,Danang
F,602881,north_side,25_34,Hanoi
F,6cafc6,north_side,25_34,Hanoi
F,75dbe1,north_side,unavailable,Hanoi
F,cac0b3,south_side,U18,HoChiMinhCity
M,7f78fe,north_side,35_44,Hanoi
F,8427c0,south_side,35_44,HoChiMinhCity
M,ad90f9,north_side,unavailable,Hanoi
F,9d586b,mid_side,45_54,Danang
F,131c947,unavailable,U18,unavailable
F,1b76fc,north_side,U18,Hanoi
M,133a1b8,mid_side,unavailable,Danang
F,1fada7,north_side,45_54,Hanoi
M,132df28,north_side,35_44,Hanoi
unavailable,1330da1,north_side,18_24,Hanoi
M,19f849,north_side,U18,Hanoi
F,b61b86,south_side,U18,HoChiMinhCity
F,47eba,unavailable,O55,unavailable
M,77b070,unavailable,35_44,unavailable
F,1899ab,north_side,45_54,Hanoi
F,c8e882,south_side,35_44,HoChiMinhCity
F,19ff3f,south_side,35_44,HoChiMinhCity
M,74f3e8,north_side,25_34,Hanoi
F,b670fc,south_side,25_34,HoChiMinhCity
M,5c2f98,mid_side,25_34,Danang
unavailable,13366a7,mid_side,unavailable,Danang
F,717941,south_side,O55,HoChiMinhCity
F,224e9,north_side,O55,Hanoi
F,cab566,north_side,unavailable,Hanoi
F,33e33b,south_side,25_34,HoChiMinhCity
M,b31c21,mid_side,45_54,Danang
M,96825d,south_side,35_44,HoChiMinhCity
M,b4916a,south_side,18_24,HoChiMinhCity
