voucher_code,total_stock,display_date_from,display_date_to
MA_Hoayeuthuong_01032024_SF4672,400,3/19/2024 10:00,4/30/2024 23:59
MA_ROBINSTORE_19032024_SF4775,200,3/29/2024 10:00,4/30/2024 23:59
MAA_TUELAMBEAUTY_24012024_SF4562,500,1/30/2024 10:00,3/31/2024 23:59
MA_HIGHLANDS_01022024_SF4599,20000,2/1/2024 10:00,2/29/2024 23:59
MAP_CITiGYM_27062023_SF3464,9699,6/27/2023 10:00,6/30/2024 23:59
MA_CANIFA_17012024_SF4518,1200,1/17/2024 10:00,2/29/2024 23:59
MA_MYKINGDOM_05022024_SF4614,3000,2/5/2024 0:00,2/29/2024 21:00
xXC5103,140,3/7/2022 10:00,9/20/2024 23:59
MAA_SCOTSENGLISH_25102023_SF4391,100,12/29/2023 10:00,3/31/2024 23:59
FLASHSALE12_BILLPAY30K,180,12/12/2023 16:00,1/5/2024 23:59
xXC3716,132267,9/12/2020 14:41,12/31/2024 23:59
MA_HEALTHYCARE_29122023_SF4386,200,12/29/2023 10:00,4/1/2024 23:59
xXC3722,118930,9/12/2020 14:37,12/31/2024 23:59
SAPPACADEMY_30122023_SF4412,500,12/30/2023 0:00,3/31/2024 23:59
MA_SALADIN_28122023_SF4378,500,12/28/2023 0:00,2/29/2024 0:00
VIETNAMAIRLINES_30122020_2,2104,12/28/2020 17:15,12/31/2024 23:59
MA_LACOSTE_16112023_SF4211,100,11/23/2023 10:00,1/1/2024 23:59
MAA_VUANEM_01022024_SF4596,1000,2/1/2024 10:00,4/30/2024 23:59
MA_BTASKEE_02062023_SF3423,10000,6/2/2023 10:00,2/29/2024 23:59
MA_RAUMAMIX_03032024_SF4643,1500,3/5/2024 10:00,4/30/2024 23:59
MA_BE_10012024_SF4486,20000,1/18/2024 10:00,6/30/2024 23:59
MA_ALPHAFITNESS_29032024_SF4721,1000,3/29/2024 10:00,7/1/2024 23:59
MA_AIRBIKE_12012024_SF4435,1000,1/5/2024 0:00,4/30/2024 23:59
xXC3761,100356,9/12/2020 14:36,12/31/2025 23:59
MA_HATHORBEAUTYSPA_26052023_SF3335,1000,5/26/2023 10:00,4/1/2024 23:59
xXC3706,120635,11/1/2023 15:00,12/31/2024 23:59
OMC_Viettel50_active,576,6/23/2022 0:00,12/31/2024 23:59
MA_JUPVIEC_15112023_SF4205,1000,11/22/2023 10:00,1/1/2024 23:59
MA_LACOSTE_20012024_SF4502,900,1/20/2024 10:00,6/30/2024 23:59
MAA_ANSSPA_24012024_SF4569,500,1/30/2024 10:00,3/31/2024 23:59
xXC12557,330,11/22/2023 10:00,3/27/2024 23:59
MAA_ANMIENSPATANBINH_24012024_SF4576,500,1/30/2024 0:00,3/31/2024 23:59
MA_HATHORBEAUTYSPA_12102023_SF3969,11000,10/11/2023 10:00,12/31/2024 21:00
MA_QUANNHAUTUDO_10032024_SF4781,300,3/30/2024 10:00,4/26/2024 23:59
MA_ELITEFITNESS_21042023_SF3219,1500,4/21/2023 10:00,12/31/2024 21:00
MA_RAUMAMIX_01122023_SF4265,1000,12/1/2023 0:00,1/31/2024 22:00
MAA_TRANGBEAUTYNAILCARE_01112023_SF4128,500,10/31/2023 10:00,1/31/2024 23:59
MAA_ELSASPEAK_24102023_SF4121,500,10/31/2023 10:00,1/31/2024 23:59
MAA_COOLMATE_01122023_SF4236,1999,11/30/2023 10:00,1/31/2024 23:59
MAA_YENTRANGBEAUTY_24012024_SF4577,500,1/30/2024 10:00,3/31/2024 23:59
MA_HIGHLANDS_01032024_SF4635,30000,3/1/2024 10:00,3/31/2024 23:59
MA_HIGHLANDS_01022024_SF4600,20000,2/1/2024 10:00,2/29/2024 23:59
MA_AHAMOVE_01122023_SF4266,100,12/1/2023 0:00,1/31/2024 23:59
MA_MAC_20012024_SF4510,900,1/20/2024 10:00,6/30/2024 23:59
MA_ASAP_21122023_SF4364,100,12/27/2023 10:00,2/14/2024 23:59
MAA_COOLMATE_110122024_giam15,9960,11/30/2023 10:00,4/30/2024 23:59
xXC89,1143,6/1/2021 0:00,1/9/2024 23:59
MA_OBAGI_21122023_SF4358,400,12/26/2023 10:00,2/14/2024 23:59
MAA_GONGCHA_27122023_SF4345,5000,12/26/2023 10:00,1/31/2024 23:59
MA_MISHIO_05012024_SF4432,1000,1/5/2024 10:00,4/30/2024 23:59
xXC5218,350,11/23/2023 10:00,10/13/2025 23:59
MAA_TORANO_24102023_SF4112,200,10/27/2023 10:00,6/30/2024 21:00
MA_HIGHLANDS_02012024_SF4414,20000,1/2/2024 10:00,1/31/2024 23:59
MA_MAC_05032024_SF4663,500,3/8/2024 10:00,3/29/2024 23:59
MA_BENHVIENTHUCUC_01122023_SF4377,200,12/28/2023 10:00,3/31/2024 23:59
xXC3715,105252,11/23/2021 15:00,12/31/2024 23:59
MA_HIGHLANDS_01032024_SF4634,10000,3/1/2024 10:00,3/31/2024 23:59
MA_COFFILIA_20012024_SF4515,500,1/20/2024 10:00,3/31/2024 23:59
MAA_MHJCLINIC_01112023_SF4125,500,10/31/2023 10:00,1/31/2024 23:59
MA_BE_10012024_SF4485,20000,1/19/2024 10:00,6/30/2024 23:59
MAA_HAPPYSKINBEAUTYCLINIC_25122023_SF4401,500,12/27/2023 10:00,2/28/2024 23:59
MAA_KFC_01012024_SF4346,12000,1/1/2024 10:00,3/31/2024 23:59
MA_SWAROVSKI_20012024_SF4509,900,1/20/2024 10:00,6/30/2024 23:59
MA_HYPOXI_01122023_SF4267,3000,12/1/2023 0:00,12/31/2024 23:59
MAA_DLYNKCLINIC_24012024_SF4564,500,1/30/2024 10:00,3/31/2024 23:59
MAA_NAGAKAWA_25122023_SF4398,300,12/29/2023 10:00,1/31/2024 23:59
MA_MERRIMAN_28092023_SF3886,853,10/15/2023 10:00,2/29/2024 23:59
MA_BENHVIENTHUCUC_01122023_SF4376,200,12/28/2023 10:00,3/31/2024 23:59
MA_BOTOQUANMOC_14032024_SF4700,500,3/23/2024 0:00,12/30/2024 23:59
MA_May10_22012024_SF4603,800,1/31/2024 10:00,3/31/2024 23:59
MAA_DECATHLON_10112023_SF4194,500,11/21/2023 10:00,1/1/2024 23:59
xXC3740,1000569,9/12/2020 14:42,12/31/2024 23:59
MA_Nagakawa_25122023_SF4397,300,12/29/2023 10:00,1/31/2024 23:59
MAA_OKINIWELLNESSSPA_24012024_SF4573,500,1/30/2024 10:00,3/31/2024 23:59
MA_ELITEFITNESS_21042023_SF3220,6000,4/21/2023 10:00,12/31/2024 21:00
MAA_DECATHLON_10112023_31012024,1000,11/21/2023 10:00,3/31/2024 21:00
MA_ROBINSTORE_19032024_SF4776,100,3/29/2024 10:00,4/30/2024 23:59
xXC3705,140810,10/20/2020 0:00,12/31/2024 23:59
MAA_AURABOX_25122023_SF4354,100,12/27/2023 10:00,4/25/2024 23:59
MA_MAYBELLINE_21122023_SF4359,100,12/26/2023 10:00,2/14/2024 23:59
MAA_EMIMIEBYHAPPYSKIN_25122023_SF4373,330,12/27/2023 10:00,3/25/2024 23:59
MA_BLACKMORRES_21122023_SF4389,200,12/29/2023 10:00,2/14/2024 23:59
MAA_GONGCHA_20012024_SF4488,3000,1/20/2024 10:00,2/29/2024 23:59
xXC8791,250,6/22/2023 15:56,12/31/2099 23:59
MA_SPA100THAOMOC_26122023_SF4350,500,12/26/2023 10:00,2/29/2024 23:59
MA_HEALTHYCARE_25122023_SF4384,200,12/29/2023 10:00,4/1/2024 23:59
xXC3743,1000147,9/12/2020 14:43,12/31/2024 23:59
xXC4783,150,11/22/2023 10:00,2/23/2024 23:59
MA_HIGHLANDS_01022024_SF4602,20000,2/1/2024 10:00,2/29/2024 23:59
MA_WINSMILE_12092023_SF3868,1020,9/26/2023 10:00,3/31/2024 23:59
MA_STYLEBYPNJ_12012024_SF4476,7000,1/19/2024 10:00,5/20/2024 23:59
MA_KHRUABAANTHAI_15122023_SF4363,500,12/27/2023 10:00,1/31/2024 23:59
MAA_BIJINDO_25012024_SF4627,1000,1/25/2024 10:00,6/30/2024 23:59
xXC3723,111850,6/23/2023 10:00,12/31/2024 23:59
xXC618,735,11/15/2021 10:00,7/1/2024 23:59
